,name,rating,reviews,avg_salary,industry,locations,highly_rated_for,critically_rated_for
5516,eligarf Technologies,3.9,199,225,Emerging Technologies,Pune +2 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
5517,Crossword Bookstores,3.7,199,528,Retail,Pune +34 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5518,Six Sigma Soft Solutions,3.5,199,1.3k,IT Services & Consulting,Chennai +23 other locations,,"Promotions / Appraisal, Skill Development / Learning, Job Security"
5519,PagarBook,3.6,199,840,Software Product,Bengaluru +23 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
5520,Emiza Supply Chain Services Private Limited,3.5,199,724,Logistics,Mumbai +19 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
5521,i-exceed technology solutions,2.7,199,1.5k,FinTech,Bengaluru +6 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
5522,Besant Technologies,3.7,200,1.2k,Education & Training,Chennai +11 other locations,Skill Development / Learning,"Salary & Benefits, Job Security, Promotions / Appraisal"
5523,Masu Brakes,3.4,199,759,Auto Components,Bahadurgarh +9 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
5524,Ami Polymer,3.6,199,699,Medical Equipment,Dadra & Nagar Haveli +14 other locations,Salary & Benefits,"Work Life Balance, Work Satisfaction, Job Security"
5525,TransPerfect,3.0,199,1.2k,Hardware & Networking,Pune +7 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5526,Experion Developers,4.7,199,621,Real Estate,Gurugram +9 other locations,"Company Culture, Work Life Balance, Job Security",
5527,Prozo,3.3,199,881,Internet,Gurugram +28 other locations,,"Company Culture, Work Satisfaction, Promotions / Appraisal"
5528,Horiba India,3.6,199,1.1k,Industrial Machinery,New Delhi +19 other locations,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
5529,Sendan International Co,2.1,199,510,Engineering & Construction,Al Jubail +20 other locations,,"Salary & Benefits, Company Culture, Work Satisfaction"
5530,Altum Credo Home Finance,3.7,199,670,NBFC,Pune +61 other locations,Salary & Benefits,Promotions / Appraisal
5531,Primary Health Centre,4.3,199,717,Healthcare,Bengaluru +87 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
5532,Aress Software and Education Technologies,2.6,199,1.1k,IT Services & Consulting,Nashik +4 other locations,,"Company Culture, Work Life Balance, Promotions / Appraisal"
